X,Y,Rang,Type,ID
770326.491974575,6270588.77583134,3,Site,193
770330.756735687,6270586.16588639,3,Site,194
770335.0214968,6270583.55594144,3,Site,195
770339.286257913,6270580.94599649,3,Site,196
770343.551019026,6270578.33605153,3,Site,197
770347.815780138,6270575.72610658,3,Site,198
770352.080541251,6270573.11616163,3,Site,199
770356.345302364,6270570.50621668,3,Site,200
770184.276902313,6270681.53934553,4,Site,201
770188.544317541,6270678.93374247,4,Site,202
770192.811732769,6270676.32813942,4,Site,203
770197.079147997,6270673.72253637,4,Site,204
770201.346563225,6270671.11693331,4,Site,205
770205.613978453,6270668.51133026,4,Site,206
770209.881393681,6270665.90572721,4,Site,207
770214.148808909,6270663.30012415,4,Site,208
770218.416224137,6270660.6945211,4,Site,209
770222.683639365,6270658.08891805,4,Site,210
770226.951054593,6270655.48331499,4,Site,211
770231.218469821,6270652.87771194,4,Site,212
770235.485885049,6270650.27210889,4,Site,213
770239.753300277,6270647.66650583,4,Site,214
770244.020715505,6270645.06090278,4,Site,215
770248.288130733,6270642.45529973,4,Site,216
770252.555545961,6270639.84969667,4,Site,217
770256.822961189,6270637.24409362,4,Site,218
770261.090376417,6270634.63849057,4,Site,219
770265.357791645,6270632.03288751,4,Site,220
770269.625206873,6270629.42728446,4,Site,221
770273.892622101,6270626.82168141,4,Site,222
770278.160037329,6270624.21607835,4,Site,223
770282.427452557,6270621.6104753,4,Site,224
770286.694867785,6270619.00487225,4,Site,225
770290.962283013,6270616.39926919,4,Site,226
770295.229698241,6270613.79366614,4,Site,227
770299.497113469,6270611.18806309,4,Site,228
770303.764528697,6270608.58246003,4,Site,229
770308.031943925,6270605.97685698,4,Site,230
770312.299359153,6270603.37125393,4,Site,231
770316.566774381,6270600.76565087,4,Site,232
770320.834189609,6270598.16004782,4,Site,233
770325.101604837,6270595.55444477,4,Site,234
770329.369020065,6270592.94884171,4,Site,235
770333.636435293,6270590.34323866,4,Site,236
770337.903850521,6270587.73763561,4,Site,237
770342.171265749,6270585.13203255,4,Site,238
770346.438680977,6270582.5264295,4,Site,239
770350.706096205,6270579.92082645,4,Site,240
770354.973511433,6270577.31522339,4,Site,241
770359.240926662,6270574.70962034,4,Site,242
770182.728676996,6270679.52665262,4,Site,243
770186.994812232,6270676.91895437,4,Site,244
770191.260947467,6270674.31125612,4,Site,245
770195.527082703,6270671.70355787,4,Site,246
770199.793217938,6270669.09585963,4,Site,247
770204.059353174,6270666.48816138,4,Site,248
770208.325488409,6270663.88046313,4,Site,249
770212.591623645,6270661.27276488,4,Site,250
770216.85775888,6270658.66506663,4,Site,251
770221.123894116,6270656.05736839,4,Site,252
770225.390029352,6270653.44967014,4,Site,253
770229.656164587,6270650.84197189,4,Site,254
770233.922299823,6270648.23427364,4,Site,255
770238.188435058,6270645.62657539,4,Site,256
770242.454570294,6270643.01887715,4,Site,257
770246.720705529,6270640.4111789,4,Site,258
770250.986840765,6270637.80348065,4,Site,259
770255.252976,6270635.1957824,4,Site,260
770259.519111236,6270632.58808416,4,Site,261
770263.785246472,6270629.98038591,4,Site,262
770268.051381707,6270627.37268766,4,Site,263
770272.317516943,6270624.76498941,4,Site,264
770276.583652178,6270622.15729116,4,Site,265
770280.849787414,6270619.54959292,4,Site,266
770285.115922649,6270616.94189467,4,Site,267
770289.382057885,6270614.33419642,4,Site,268
770293.64819312,6270611.72649817,4,Site,269
770297.914328356,6270609.11879992,4,Site,270
770302.180463591,6270606.51110168,4,Site,271
770306.446598827,6270603.90340343,4,Site,272
770310.712734062,6270601.29570518,4,Site,273
770314.978869298,6270598.68800693,4,Site,274
770319.245004534,6270596.08030869,4,Site,275
770323.511139769,6270593.47261044,4,Site,276
770327.777275005,6270590.86491219,4,Site,277
770332.04341024,6270588.25721394,4,Site,278
770336.309545476,6270585.64951569,4,Site,279
770340.575680711,6270583.04181745,4,Site,280
770344.841815947,6270580.4341192,4,Site,281
770349.107951182,6270577.82642095,4,Site,282
770353.374086418,6270575.2187227,4,Site,283
770357.640221654,6270572.61102445,4,Site,284
770185.515482566,6270683.70686097,5,Site,285
770189.784904203,6270681.10454683,5,Site,286
770194.05432584,6270678.50223269,5,Site,287
770198.323747476,6270675.89991855,5,Site,288
770202.593169113,6270673.29760441,5,Site,289
770206.86259075,6270670.69529027,5,Site,290
770211.132012387,6270668.09297613,5,Site,291
770215.401434024,6270665.49066199,5,Site,292
770219.670855661,6270662.88834785,5,Site,293
770223.940277298,6270660.28603371,5,Site,294
770228.209698935,6270657.68371957,5,Site,295
770232.479120572,6270655.08140543,5,Site,296
770236.748542209,6270652.47909128,5,Site,297
770241.017963845,6270649.87677714,5,Site,298
